"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2023","3,430","3,500","3,530","3,410","30.58M","-1.44%"
"11/14/2023","3,480","3,510","3,520","3,470","13.58M","-1.42%"
"11/13/2023","3,530","3,590","3,590","3,510","9.89M","-1.67%"
"11/10/2023","3,590","3,600","3,600","3,550","4.50M","-0.28%"
"11/09/2023","3,600","3,600","3,600","3,580","4.26M","0.00%"
"11/08/2023","3,600","3,560","3,600","3,560","6.30M","0.84%"
"11/07/2023","3,570","3,620","3,620","3,550","10.36M","-1.38%"
"11/06/2023","3,620","3,550","3,630","3,550","11.11M","1.97%"
"11/03/2023","3,550","3,590","3,610","3,520","17.88M","-1.11%"
"11/02/2023","3,590","3,600","3,670","3,570","20.93M","0.28%"
"11/01/2023","3,580","3,600","3,650","3,550","22.59M","-1.10%"
"10/31/2023","3,620","3,790","3,820","3,620","26.50M","-4.49%"
"10/30/2023","3,790","3,970","3,970","3,720","26.31M","-4.77%"
