"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2024","700","660","700","660","10.00K","-0.71%"
"02/28/2024","700","715","720","700","24.50K","0.00%"
"02/29/2024","705","730","730","700","2.00K","0.71%"
"03/01/2024","725","705","725","695","5.90K","2.84%"
"03/04/2024","695","725","725","695","11.30K","-4.14%"
"03/05/2024","720","725","725","720","0.20K","3.60%"
"03/06/2024","720","720","720","700","1.00K","0.00%"
"03/07/2024","730","720","730","720","0.60K","1.39%"
"03/08/2024","720","730","730","720","2.60K","-1.37%"
"03/13/2024","705","720","720","705","3.10K","-2.08%"
"03/14/2024","690","705","730","690","1.20K","-2.13%"
"03/15/2024","710","690","710","670","4.50K","2.90%"
"03/18/2024","705","710","715","700","1.60K","-0.70%"
"03/19/2024","880","700","880","700","357.60K","24.82%"
"03/20/2024","830","880","990","765","656.10K","-5.68%"
"03/21/2024","800","830","920","760","196.00K","-3.61%"
"03/22/2024","800","800","815","770","31.30K","0.00%"
"03/25/2024","805","775","820","765","225.40K","0.63%"
"03/26/2024","800","800","805","770","27.80K","-0.62%"
"03/27/2024","790","770","805","760","102.90K","-1.25%"
"03/28/2024","770","770","785","750","110.00K","-2.53%"
"04/01/2024","775","770","785","750","36.50K","0.65%"
"04/02/2024","770","775","785","750","28.10K","-0.65%"
"04/03/2024","765","755","765","660","57.20K","-0.65%"
"04/04/2024","755","765","780","660","76.60K","-1.31%"
"04/05/2024","765","755","770","735","11.70K","1.32%"
"04/16/2024","750","750","765","730","25.80K","-1.96%"
"04/17/2024","760","740","765","725","23.60K","1.33%"
"04/18/2024","780","745","805","745","30.70K","2.63%"
"04/19/2024","775","780","785","760","20.50K","-0.64%"
"04/22/2024","775","775","775","690","20.00K","0.00%"
"04/23/2024","775","755","775","730","10.20K","0.00%"
"04/24/2024","800","775","810","770","48.60K","3.23%"
"04/25/2024","790","800","820","770","46.60K","-1.25%"
"04/26/2024","800","790","820","755","36.30K","1.27%"
"04/29/2024","780","800","820","690","36.10K","-2.50%"
"04/30/2024","770","780","785","750","22.40K","-1.28%"
"05/02/2024","770","770","775","745","6.70K","0.00%"
"05/03/2024","760","760","770","660","25.50K","-1.30%"
"05/06/2024","765","755","770","700","32.90K","0.66%"
"05/07/2024","765","765","780","690","223.00K","0.00%"
"05/08/2024","765","765","775","730","14.60K","0.00%"
"05/13/2024","760","765","790","700","67.90K","-0.65%"
"05/14/2024","760","740","770","740","13.30K","0.00%"
"05/15/2024","725","735","760","690","276.10K","-4.61%"
"05/16/2024","725","715","740","690","149.50K","0.00%"
"05/17/2024","730","695","775","695","103.60K","0.69%"
"05/20/2024","600","705","750","590","815.60K","-17.81%"
