Date,Price,Open,High,Low,Vol.,Change %
3/18/2024,"1,920","1,915","1,930","1,915",56.80K,-1.79%
3/19/2024,"1,910","1,970","1,970","1,910",52.50K,-0.52%
3/20/2024,"1,925","1,950","1,950","1,910",1.40K,0.79%
3/21/2024,"1,955","1,925","1,960","1,910",4.30K,1.56%
3/22/2024,"2,070","1,905","2,070","1,905",9.00K,5.88%
3/25/2024,"1,960","1,925","1,970","1,925",0.90K,-5.31%
3/26/2024,"1,970","1,965","1,975","1,965",0.70K,0.51%
3/27/2024,"1,995","1,985","2,000","1,985",0.60K,1.27%
3/28/2024,"1,905","1,910","1,970","1,905",4.90K,-4.51%
4/1/2024,"1,935","1,955","1,965","1,905",2.00K,1.57%
4/2/2024,"1,935","1,965","1,965","1,935",0.50K,0.00%
4/3/2024,"1,910","1,910","1,910","1,910",86.80K,-1.29%
4/4/2024,"1,905","1,945","1,950","1,905",3.10K,-0.26%
4/5/2024,"1,925","1,960","1,960","1,905",0.70K,1.05%
4/16/2024,"1,930","1,925","1,960","1,925",1.20K,0.26%
4/18/2024,"1,900","1,900","1,900","1,900",0.20K,-1.55%
4/19/2024,"1,900","1,950","1,950","1,900",0.40K,0.00%
4/22/2024,"1,940","1,940","1,940","1,940",0.20K,2.11%
4/25/2024,"1,945","1,960","1,960","1,945",0.20K,0.26%
4/26/2024,"1,940","1,910","1,940","1,910",0.20K,-0.26%
4/29/2024,"1,950","1,905","1,960","1,900",2.70K,0.52%
4/30/2024,"1,980","1,975","1,980","1,975",0.40K,1.54%
5/2/2024,"1,940","1,870","1,940","1,870",0.80K,-2.02%
5/3/2024,"1,930","1,890","1,930","1,890",1.00K,-0.52%
5/6/2024,"1,915","1,930","1,930","1,885",2.40K,-0.78%
5/8/2024,"1,870","1,925","1,925","1,870",0.30K,-2.35%
5/13/2024,"1,855","1,850","1,900","1,850",1.10K,-0.80%
5/14/2024,"1,900","1,900","1,900","1,890",20.90K,2.43%
5/15/2024,"1,920","1,850","1,920","1,850",1.10K,1.05%
5/16/2024,"1,900","1,925","1,945","1,900",6.30K,-1.04%
5/17/2024,"1,930","1,930","1,930","1,930",0.10K,1.58%
5/20/2024,"1,940","1,940","1,940","1,940",0.20K,0.52%
5/22/2024,"1,925","1,925","1,925","1,925",0.40K,-0.77%
5/27/2024,"1,940","1,940","1,940","1,940",0.20K,0.78%
5/31/2024,"1,935","1,935","1,935","1,935",0.10K,-0.26%
6/4/2024,"1,935","1,935","1,935","1,935",0.10K,0.00%
6/5/2024,"1,900","1,900","1,900","1,900",0.20K,-1.81%
6/6/2024,"1,885","1,920","1,935","1,885",5.30K,-0.79%
6/10/2024,"1,800","1,750","1,800","1,750",3.20K,-4.51%
6/11/2024,"1,800","1,835","1,835","1,700",1.50K,0.00%
6/12/2024,"1,860","1,830","1,860","1,830",2.10K,3.33%
6/13/2024,"1,860","1,860","1,865","1,860",0.80K,0.00%
6/19/2024,"1,735","1,800","1,800","1,705",3.60K,-6.72%
6/20/2024,"1,715","1,730","1,730","1,705",16.70K,-1.15%
6/21/2024,"1,745","1,715","1,745","1,715",1.30K,1.75%
6/24/2024,"1,745","1,710","1,775","1,705",1.50K,0.00%
6/25/2024,"1,745","1,745","1,745","1,745",1.00K,0.00%
6/26/2024,"1,740","1,740","1,740","1,740",1.10K,-0.29%
6/27/2024,"1,705","1,740","1,740","1,705",1.10K,-2.01%
6/28/2024,"1,700","1,705","1,750","1,700",3.60K,-0.29%
7/1/2024,"1,680","1,695","1,720","1,680",3.80K,-1.18%
7/2/2024,"1,680","1,710","1,735","1,680",4.70K,0.00%
7/3/2024,"1,960","1,730","1,960","1,700",14.10K,16.67%
7/4/2024,"1,965","1,960","1,970","1,960",2.20K,0.26%
7/5/2024,"1,880","1,965","1,965","1,880",1.30K,-4.33%
7/8/2024,"1,825","1,880","1,880","1,705",2.10K,-2.93%
7/9/2024,"1,950","1,800","1,950","1,800",1.20K,6.85%
